id_poi;Nom;Categorie;Telephone;Email;Source
1852;Chips LA 76;shop;0610328848;contact@chipsla76.fr;OSM (gps)
1961;"Conférence ""L'expérience des limites dans Bouvard et Pécuchet de Gustave Flaubert (1881)""";event;;;non trouvé
1988;La Route de la Pomme;activity;;;non trouvé
2048;Le Marquet;activity;0235121010;;Web (DuckDuckGo)
2126;"Gites la Charreterie ""Le Verger""";accommodation;;;non trouvé
2128;Animaux brillants - Atelier jeune public;event;0235140195;atelierstromain@yahoo.fr;OSM (gps)
2190;L'Atelier Boui-Boui;activity;;;non trouvé
2231;Rand'Arelaune;event;;;non trouvé
2254;Gîte Etretat Arsène Lupin;accommodation;;;non trouvé
2255;Hôtel La Villa des Houx;accommodation;0235939330;;OSM (gps)
2308;L'Arbalète et le Bosmelet;activity;;;non trouvé
2318;Le Tour du Lac;activity;;;non trouvé
2335;[Nuit Européenne des Musées];event;0673463090;espacedesfougeres@gmail.com;OSM (Nom+Ville)
2338;RDV aux Jardins -Visite guidée botanique et historique;event;;;non trouvé
2458;Hôtel La Robe et le Palais;accommodation;0235905122;;OSM (gps)
2514;Atelier Apprentis alchimistes;event;0235140195;bananapiercingtattoo76@gmail.com;OSM (gps)
2528;Le Petit Hôtel du Château;accommodation;;;non trouvé
2624;Les Démagnes;activity;;;non trouvé
2629;Atelier pot boule disco fleurie;event;;;non trouvé
2632;[R] Appartement Témoin Perret;culture;;;non trouvé
2648;Opéra de Rouen Le petit prince;event;;;non trouvé
2660;Embrin Ferme du Château;culture;;;non trouvé
2691;Le Havre Port Center;culture;;;non trouvé
2807;Open Capfinances;event;0277008612;info@kindarena.fr;OSM (gps)
2816;Forum des Associations;event;;;non trouvé
2819;Rendez-vous à l’atelier, les artistes ouvrent leurs portes;event;;;non trouvé
2840;Les Orchidées;activity;;;non trouvé
2848;WE d’initiation à la marche afghane;event;;;non trouvé
2876;Bière Brotonia;shop;;;non trouvé
2884;Une ville, des quartiers : Au sud de la Cathédrale : la Reconstruction;event;0235715795;contact@hotel-de-la-cathedrale.fr;OSM (gps)
2911;Curieux Printemps;event;0171252601;contact@restaurant-des-beaux-arts.com;OSM (gps)
2944;L’énigme du chat momifié;event;;;non trouvé
2946;Le monde merveilleux des Bégonias;event;;;non trouvé
3030;"Le Camp ""Lucky Strike""";activity;;;non trouvé
3036;Salon Gourmand’Caux;event;;;non trouvé
3054;Chez Sandrine et Sébastien;accommodation;0235961017;nathalie.delabarre76@orange.fr;OSM (gps)
3137;Les journées de l'arbre;event;;;non trouvé
3171;Le Gros-Horloge;culture;0235710949;warp.rouen@yahoo.fr;OSM (gps)
3208;Initiation gratuite au golf;event;;;non trouvé
3212;Le 6ème Sens;food;0235884397;contact@le-sixiemesens.fr;OSM (gps)
3229;Atelier : Vaincre la peste;event;;;non trouvé
3259;Concours d'Attelage;event;;;non trouvé
3260;Le Rail;activity;;;non trouvé
3332;La Coutume;activity;;;non trouvé
3362;Meeting International d'Athlétisme;event;;;non trouvé
3389;La Crevette;accommodation;0683550587;;OSM (gps)
3395;Eden Picard - Artisan Pâtissier chocolatier;shop;;;non trouvé
3415;"Gîte ""L'Atelier"" Château de Miromesnil";accommodation;;;non trouvé
3438;LES 100 ANS DU HANGAR 13;event;;;non trouvé
3439;Sortie ornithologique - Les oiseaux de la zone humide et du verger;event;0679522128;contact@laconvergencedesloutres.fr;Web (DuckDuckGo)
3468;Après-midi nourrissage maki catta et flamant;event;;;non trouvé
3486;Atelier biscuits du goûter;event;;;non trouvé
3496;Gîte Le Tilleul;accommodation;;;non trouvé
3511;Château de Miromesnil;accommodation;;;non trouvé
3524;Brûlerie Charles Danican - Cafés Charles Danican;culture;0235460154;contact@cafecharlesdanican.com;OSM (gps)
3555;La Chappelle Saint-Maurice;activity;;;non trouvé
3613;Jardin Potager du Château de Miromesnil;culture;;;non trouvé
3629;Visite guidée : Sur les pas de Jules Durand;event;;;non trouvé
3686;Printemps des cimetières;event;;;non trouvé
3697;Palais Bénédictine - Musée et Distillerie;culture;;;non trouvé
3701;Sortie ornithologique - Les oiseaux du village;event;;;non trouvé
3703;Édruchon;activity;;;non trouvé
3782;Concours de manille;event;0235861183;mairie@flocques.fr;OSM (gps)
3813;Mauquenchy-Roncherolles en Bray;activity;0235905816;mailto:ce.0763133T@ac-normandie.fr;Wikidata
3846;Atelier fraisier;event;;;non trouvé
3850;Le Clos Jacquet;activity;;;non trouvé
3857;La Chapelle du Bout du Vent;activity;;;non trouvé
3872;L'Etincelle, Théâtre(s) de la Ville de Rouen;activity;0235981150;contact@rupperolland-immo.fr;OSM (gps)
3882;Seine Marathon 76;event;0950704392;sahrouen@gmail.com;OSM (gps)
3948;RAR week-end;event;;;non trouvé
3960;Exposition - Des dinosaures aux oiseaux;event;;;non trouvé
4020;Rouge Cottage;accommodation;;;non trouvé
4056;Fêtons sous les cloches !;event;;;non trouvé
4133;Les Orchidées à cheval;activity;;;non trouvé
4186;RDV aux Jardins -Visite guidée botanique;event;;;non trouvé
4224;Médiation libre;event;;;non trouvé
4244;Téléthon 2026;event;;;non trouvé
4302;Visite guidée : Poste de commandement d'artillerie de l'armée de terre;event;;;non trouvé
4384;Le Beau Chêne;activity;;;non trouvé
4445;Les Juliobonales;event;;;non trouvé
4514;Exposition - Les œufs mimosa, ceux dont tout le monde parle à la télévision !;event;;;non trouvé
4527;Le Grand Gîte du Château de Miromesnil;accommodation;;;non trouvé
4538;Salon du Savoir-Faire Local;event;;;non trouvé
4539;Studio Le Gîte des Compagnons;accommodation;0630399166;legitedescompagnons@gmail.com;Web (DuckDuckGo)
4545;Une ville, des quartiers;event;0232831090;desmaillesetdescouleurs@gmail.com;OSM (gps)
4565;Association Normandie Organisation d'Evénements;other;;;non trouvé
4567;Pierre-Auguste Renoir;activity;0235831757;;Web (DuckDuckGo)
4595;Atelier photo : Objectif Rouen;event;0235007749;atelierstromain@yahoo.fr;OSM (gps)
4617;Les 4 saisons du Parc version automne;event;;;non trouvé
4644;La Dame de la Côte;accommodation;;;non trouvé
4668;Où es-tu, petit lapin ? - Atelier jeune public;event;;;non trouvé
4816;Exposition : Potosi en sol mineur;event;;;non trouvé
4828;Atelier Bel-Event;shop;;;non trouvé
4865;Le Coupe Gorge;activity;0750723758;accueil@golfdarnouville.com;OSM (gps)
4900;"Exposition - ""Passé Recomposé, expérimenter le réemploi""";event;;;non trouvé
4920;Hôtel Campanile Rouen Nord Barentin;accommodation;0232190126;;OSM (gps)
4996;Les fermes traditionnelles;activity;;;non trouvé
5006;45 ème édition : Course et marche des 3 Villes Soeurs;event;;;non trouvé
5034;Carabas & Le chat Botté;event;;;non trouvé
5077;[FERMÉ] Maison-Musée de l'Armateur;culture;0235190985;fleurs.bleues@club-internet.fr;OSM (gps)
5090;Le Pont de Coq;activity;;;non trouvé
5097;Une ville, des quartiers : Le quartier Saint-Maclou;event;;;non trouvé
5107;Collection d’Art;event;;;non trouvé
5165;Le Domaine des Hogues;activity;;;non trouvé
5263;Au Fil des Châteaux;activity;;;non trouvé
5272;Après-midi nourrissage gibbons du lac;event;;;non trouvé
5318;La Chaumine;accommodation;;;non trouvé
5319;Visite guidée nocturne de l'Aître Saint-Maclou;event;0235710667;aubergestmaclou@gmail.com;OSM (gps)
5354;L'autre Corneille : Thomas - Exposition;event;0235681389;ce.0760086f@ac-normandie.fr;OSM (gps)
5410;Silleron et Iclon;activity;;;non trouvé
5423;Le four à chaux;activity;;;non trouvé
5453;Le Rougemont;activity;;;non trouvé
5471;La Tour aux Crabes;accommodation;0219130393;;OSM (gps)
5541;Bière Brotonia;culture;;;non trouvé
5583;Un abri pour les oiseaux - Atelier jeune public;event;0235140195;atelierstromain@yahoo.fr;OSM (gps)
5588;Le Trèfle restaurant panoramique du Casino;food;;;non trouvé
5633;Une ville, des quartiers : Vers la rue de Crosne;event;;;non trouvé
5635;Atelier bébés fermiers;event;;;non trouvé
5657;La Nuit des Musées;event;0232081831;contact@lovelolibreservice.fr;OSM (gps)
5716;Hôtel Ibis Rouen Champ de Mars;accommodation;;;non trouvé
5781;Autour du Cap;activity;;;non trouvé
5870;La Normanvillaise - course et marche rando;event;0235276127;mailto:ce.0761387V@ac-normandie.fr;Wikidata
5872;Bouger à Saint Sylvain !;event;0235970227;mairie.st-sylvain@wanadoo.fr;OSM (gps)
5888;Escape Game Insolite - Opération CROSSBOW;activity;;;non trouvé
5889;La Chouette;activity;;;non trouvé
5908;Hôtel Ibis Styles Rouen Parc Expos Zénith;accommodation;0279490049;;OSM (gps)
5913;Les Champeaux;shop;;;non trouvé
5939;Château Robert Le Diable;culture;0235180236;;Web (DuckDuckGo)
5965;Hôtel Paulette;accommodation;0235700926;info@hotelcentrerouen.com;OSM (gps)
5997;Parc du Bocasse;activity;;;non trouvé
6062;Exposition Bina Baitel;event;;;non trouvé
6091;Gîte Bout d'Caillou;accommodation;;;non trouvé
6094;[Course à pied] Les 10 km de Dieppe;event;;mailto:ce.0763020V@ac-normandie.fr;Wikidata
6135;Picnic Party;event;;;non trouvé
6166;Gîte Plage du Débarquement;accommodation;;;non trouvé
6207;Des Glycines à la Porte Noire à cheval;activity;;;non trouvé
6213;Visite sensorielle – Visite découverte du Palais archiépiscopal;event;0235714140;ce.0761978M@ac-normandie.fr;OSM (gps)
6239;Nuit Blanche;event;0952151768;margheritarouen@gmail.com;OSM (gps)
6250;"Le Coin des Aromates - Chambre ""Angélique""";accommodation;;;non trouvé
6320;Rouen sur Mer;event;0235713430;normandie@snes.edu;OSM (gps)
6358;Base de loisirs de Jumièges - Le Mesnil;activity;;;non trouvé
6415;TOUTLIN;shop;;;non trouvé
6516;Le pays du grès;activity;;;non trouvé
6642;Bulles d'été;event;;;non trouvé
6685;[Marche solidaire] Oxfam Trailwalker;event;;;non trouvé
6711;Carré Rouge Couture;shop;;;non trouvé
6720;Côte Sainte-Catherine : Quelle histoire !;event;;;non trouvé
6731;Art de Rives;event;0235962467;;OSM (gps)
