id_poi;nom;categorie;types;description_analyse;public_cible
105;Point Plage de Dieppe · Initiations aux loisirs nautiques et location de matériel;activity;PlaceOfInterest, PointOfInterest, SportsAndLeisurePlace;Pendant l'été, le Point Plage de Dieppe vous propose la location de supports nautiques et des initiations gratuites à divers sports et loisirs nautiques. 🌊 • Club Municipal de natation de Dieppe · 06 12 30 80 90 > Balades en kayak et paddle en... Pendant l'été, le Point Plage de Dieppe vous propose ;Adultes, Débutants, Familles, Randonneurs
119;Gare de Longroy-Gamaches;activity;schema:TrainStation, PlaceOfInterest, PointOfInterest, TrainStation, Transport;nan nan;Adultes, Familles
125;Le Bièvredent;activity;olo:OrderedList, PointOfInterest, Tour, WalkingTour;Au départ d'un charmant village en bordure de la Boutonnière du Pays de Bray, cet itinéraire présente quatre grands panoramas grâce à son fort dénivelé. Au départ d'un charmant village en bordure de la Boutonnière du Pays de Bray, cet itinéraire présente quatre grands panoramas grâce à son fort déni;Adultes, Familles, Randonneurs
141;Aire de pique-nique d'Héronchelles;activity;ConvenientService, PicnicArea, PlaceOfInterest, PointOfInterest;Pour les adeptes du patrimoine, un beau point de vue sur le manoir et l'église d'Héronchelles 3 tables de pique-nique à côté du manoir d'Héronchelles et de l'église Pour les adeptes du patrimoine, un beau point de vue sur le manoir et l'église d'Héronchelles 3 tables de pique-nique à côté du manoir ;Adultes, Familles
142;Circuit du Tournant;activity;olo:OrderedList, PointOfInterest, Tour, WalkingTour;nan nan;Adultes, Familles, Randonneurs
145;La croix de pierre;activity;olo:OrderedList, PointOfInterest, Tour, WalkingTour;A admirer, deux châteaux du 17ème siècle : celui de Lintot avec sa porte monumentale et son magnifique écusson, et celui du Feugrès. Au départ, près de l'église, se trouve La Croix de pierre : simple borne ou croix de peste ? Il est agréable de terminer cette boucle en sillonnant la forêt. A admirer;Adultes, Familles, Randonneurs
149;La Cavée aux Coqs à VTT;activity;olo:OrderedList, CyclingTour, PointOfInterest, Tour;Cette balade vous fera découvrir Betteville, l’église et le Manoir qui s’y trouvent, ainsi que quelques belles chaumières restaurées dans le bourg et au hameau du Mesnil. Vous pourrez apercevoir un très beau panorama sur le Pont de Brotonne et sur l’un des bâtiments de l’abbaye de Saint-Wandrille-Ra;Adultes, Familles, Randonneurs, Sportifs
150;La Mare aux Daims;activity;olo:OrderedList, PointOfInterest, Tour, WalkingTour;Une jolie promenade d'une demi-journée en Pays de Bray.Au départ de l'église de Flamets Frétils, vous voici immergé dans les paysages brayons traditionnels. Ici, les pelouses vertes et grasses sont propices à l'élevage qui donnera le lait, matière première de l'emblème de la gastronomie du Pays de B;Adultes, Familles, Randonneurs
160;AST SUN JET PASSION;activity;PlaceOfInterest, PointOfInterest, SportsAndLeisurePlace;Jet ski - Organisation du Tréport Jet Evènement Jet ski - Organisation du Tréport Jet Evènement;Adultes
170;Boucle VTT - De la Saâne à la Vienne;activity;olo:OrderedList, CyclingTour, PointOfInterest, Tour;Une randonnée partagée entre la vallée de la Saâne et la vallée de la Vienne pour les adeptes du VTT. Chacune des vallées que vous emprunterez vous fera découvrir ses richesses : patrimoine rural (moulins, églises et châteaux), cours d'eau, sentiers au cœur des villages… Une randonnée partagée entre;Adultes, Randonneurs, Sportifs
176;La Ferme de La Boudinière;activity;schema:LocalBusiness, PlaceOfInterest, PointOfInterest, SportsAndLeisurePlace, TastingProvider, TeachingFarm;Visite Uniquement sur Réservation (voir les événements sur notre page Facebook) Notre ferme pédagogique propose des visites adaptées à tout public. Au sein d'une ferme spacieuse, votre parcours vous permettra de comprendre comment fonctionne une... Visite Uniquement sur Réservation (voir les événeme;Adultes, Enfants, Familles, Groupes scolaires
180;Le Bois de la Brétèque;activity;olo:OrderedList, PointOfInterest, Tour, WalkingTour;nan nan;Adultes, Familles, Randonneurs
189;Des Glycines à la Porte Noire;activity;olo:OrderedList, PointOfInterest, Tour, WalkingTour;"Empruntez le GR210 dit du Chasse marée, vous suivrez la rivière pour rejoindre Crosville-sur-Scie et son ancienne linerie devenue aujourd'hui un lieu culturel ""Les Amis de la linerie"". Besoin de reprendre des forces ? L'épicier du coin propose sandwichs et produits du terroir issus des fermes des al";Adultes, Enfants, Familles, Randonneurs
199;La Forêt de Ménonval;activity;olo:OrderedList, PointOfInterest, Tour, WalkingTour;Cette boucle de randonnée vous emmènera jusqu'en forêt de Ménonval, où vous découvrirez un village et des paysages exceptionnels et typiques du Pays Neufchâtelois. Cette boucle de randonnée vous emmènera jusqu'en forêt de Ménonval, où vous découvrirez un village et des paysages exceptionnels et typi;Adultes, Familles, Randonneurs
203;La Quesnoye;activity;olo:OrderedList, PointOfInterest, Tour, WalkingTour;Cette boucle de randonnée est parfaite pour les amateurs de marche et les familles. Venez découvrir la Vallée de l'Yères avec une bonne paire de chaussures et une bouteille d'eau dans le sac. Cette boucle de randonnée est parfaite pour les amateurs de marche et les familles. Venez découvrir la Vallé;Adultes, Familles, Randonneurs
206;Aéroclub de l'Estuaire de la Seine;activity;PlaceOfInterest, PointOfInterest, SportsAndLeisurePlace;Situé à 20 km du Havre, l'Aéroclub de l'Estuaire de la Seine vous accueille sur le terrain de Saint Romain de Colbosc pour vous initier à la pratique du planeur ou de l'avion. Des vols découverte sont également proposés en avion ou en ULM et en... Situé à 20 km du Havre, l'Aéroclub de l'Estuaire de ;Adultes
209;Escape Game Étretat - Panda Motion;activity;schema:LocalBusiness, PlaceOfInterest, PointOfInterest, SportsAndLeisurePlace, TastingProvider;Vivez l’aventure de vos rêves en Normandie avec Panda Motion ! Spécialistes des loisirs insolites et éco-responsables, nous vous faisons découvrir la région via nos escape games grandeur nature et visites guidées ludiques. Frissons et fous rires... Vivez l’aventure de vos rêves en Normandie avec Pan;Adultes, Familles, PMR
215;La Véloroute des Thermes;activity;olo:OrderedList, CyclingTour, PointOfInterest, Tour;Reliez Rouen et Forges-Les-Eaux en un coup de pédale ! Découvrez Rouen, son centre médiéval et son offre culturelle variée puis, au travers de la campagne entourant la ville aux 100 clochers, découvrez châteaux et charmants petits bourgs préservés, comme figés dans le temps. Prenez le temps de décou;Adultes, Sportifs
216;Gomare;activity;olo:OrderedList, CyclingTour, PointOfInterest, Tour;Cet itinéraire balisé vous offre des paysages variés : forêt d'Eu, chemins de traverse entourés de haies vives. À Sept-Meules, point de vue sur la vallée de l'Yères et ses côteaux calcaires, églises, moulin avec sa roue à aube toujours en état de marche. Cet itinéraire balisé vous offre des paysages;Adultes, Sportifs
217;La Chevrette;activity;olo:OrderedList, PointOfInterest, Tour, WalkingTour;nan nan;Adultes, Familles, Randonneurs
222;Gare de Bolbec;activity;schema:TrainStation, PlaceOfInterest, PointOfInterest, TrainStation, Transport;nan nan;Adultes, Familles
226;Les clos masures;activity;olo:OrderedList, PointOfInterest, Tour, WalkingTour;nan nan;Adultes, Familles, Randonneurs
239;La Roulée;activity;olo:OrderedList, PointOfInterest, Tour, WalkingTour;Découvrez le village blotti entre le Mont Sauveur et les Monts de Sigy. Admirez le Manoir d'Argueil, château de la Renaissance et traversez la Roulée, un affluent de l'Andelle. Découvrez le village blotti entre le Mont Sauveur et les Monts de Sigy. Admirez le Manoir d'Argueil, château de la Renaissa;Adultes, Familles, Randonneurs
244;La  Ferme des Falaises;activity;PlaceOfInterest, PointOfInterest, SportsAndLeisurePlace, TeachingFarm;A la Ferme des Falaises, vous pouvez découvrir nos diverses variétés d'animaux et circuler librement à travers la ferme. Venez admirer et caresser des animaux accessibles et affectueux. Visitez la maison des petits animaux et déambuler parmi les... A la Ferme des Falaises, vous pouvez découvrir nos ;Adultes, Enfants, Familles, Groupes scolaires
245;Le Chemin Vert du Petit Caux à VTT;activity;olo:OrderedList, CyclingTour, PointOfInterest, Tour;Entre la ville d’Eu et Saint-Quentin-au-Bosc, cet itinéraire de 17 kilomètres emprunte l’ancienne voie ferrée reliant Dieppe à Eu. Mise en service en 1885, la voie ferrée a été déposée en 1982. Aujourd’hui, le train ne siffle donc plus mais de nombreuses traces de ce passé ferroviaire subsistent. Vo;Adultes, Enfants, Familles, PMR, Sportifs
250;Le Jardin du Roi de Rome à cheval;activity;olo:OrderedList, HorseTour, PointOfInterest, Tour;Cette boucle au départ des Ventes-Saint-Rémy vous fera traverser la forêt d’Eawy, massif forestier en partie classé en zone Natura 2000. A votre retour, prenez le temps de flâner dans le Jardin du Roi de Rome. Cette boucle au départ des Ventes-Saint-Rémy vous fera traverser la forêt d’Eawy, massif f;Adultes, Enfants
251;L'heure bleue;activity;PlaceOfInterest, PointOfInterest, SportsAndLeisurePlace;Yves Thuillier vous propose de découvrir les sites que vous aimez à travers une approche un peu différente : en sortant du mode « auto » de votre appareil et en utilisant les options qu’il offre pour réaliser des clichés sortant de la traditionnelle... Yves Thuillier vous propose de découvrir les si;Débutants
256;Patinoire Municipale;activity;schema:LocalBusiness, IceSkatingRink, PlaceOfInterest, PointOfInterest, SportsAndLeisurePlace;Venez passer un moment de détente en famille ou entre amis à la patinoire du Havre. Vous pourrez découvrir le jardin des glaces tous les dimanches matins, un parcours ludique pour faire découvrir les joies de la patinoire aux enfants. Venez passer un moment de détente en famille ou entre amis à la p;Adultes, Enfants, Familles
258;Parc la Fontaine Enchantée;activity;PlaceOfInterest, PointOfInterest, SportsAndLeisurePlace;Situé en plein air en lisière de forêt, adapté aux petits comme aux grands, venez vous divertir en famille. 16 attractions : structures gonflables, parcours gonflable XXL, toboggan géant, zone aquatique gonflable (maillot de bain obligatoire,... Situé en plein air en lisière de forêt, adapté aux pet;Adultes, Familles
259;Grumesnil;activity;olo:OrderedList, PointOfInterest, Tour, WalkingTour;nan nan;Adultes, Familles, Randonneurs
260;Circuit du manoir au Val;activity;olo:OrderedList, PointOfInterest, Tour, WalkingTour;nan nan;Adultes, Familles, Randonneurs
266;Office de Tourisme Intercommunal de Fécamp;activity;schema:TouristInformationCenter, LocalTouristOffice, PlaceOfInterest, PointOfInterest, TouristInformationCenter;nan Situé à l'entrée du port, Quai Sardi Carnot, l'Office de Tourisme Intercommunal de Fécamp vous accueille tout au long de l'année. Soucieux de l'accessibilité pour tous, l'Office de Tourisme est labellisé Tourisme & Handicap. L'équipe souhaite vous offrir un accueil de qualité et met à votre disp;Adultes, Familles, PMR
277;La Réformation;activity;olo:OrderedList, PointOfInterest, Tour, WalkingTour;Toute l’année, vous pourrez apprécier le rythme des saisons en milieu forestier. Vous emprunterez l’Allée des Limousins et aurez une vue surprenante sur cette traversée rectiligne. Toute l’année, vous pourrez apprécier le rythme des saisons en milieu forestier. Vous emprunterez l’Allée des Limousins;Adultes, Familles, Randonneurs
283;Les Ecuries des Vallées;activity;schema:LocalBusiness, EquestrianCenter, PlaceOfInterest, PointOfInterest, SportsAndLeisurePlace;Du simple bonheur de monter et de travailler un cheval à l'inépuisable envie de se perfectionner. Les chevaux des écuries des Vallées vous attendent pour pratiquer une équitation bienveillante et une progression harmonieuse. Pédagogie adaptée,... Du simple bonheur de monter et de travailler un cheva;Adultes, Enfants
285;Le Mont Rôti à VTT;activity;olo:OrderedList, CyclingTour, PointOfInterest, Tour;Si vous avez envie d'une sortie sportive à travers les paysages vallonnés typiques de la Vallée de la Bresle, alors ce circuit est fait pour vous ! Venez faire du VTT au coeur de la forêt d'Eu. Pour une ballade VTT en toute sécurité, pensez au casque et à la bouteille d'eau ! Vous serez ensuite prêt;Adultes, Sportifs
292;La Basse Vallée de la Durdent;activity;olo:OrderedList, PointOfInterest, Tour, WalkingTour;Ce circuit nature de 7 km (dont 6,3 km = 90% en site propre goudronné sans voiture) est jalonné de 6 panneaux pour découvrir et comprendre les attraits naturels, faunistiques et floristiques de la basse vallée de la Durdent. Promenade familiale idéale avec enfants en poussette ou à vélo. Ce circuit ;Adultes, Enfants, Familles, Randonneurs
306;Le Val Saint-Etienne à VTT;activity;olo:OrderedList, CyclingTour, PointOfInterest, Tour;Après une visite au Musée du Cidre et des Métiers Traditionnels, repartez à la découverte du Val SaintEtienne qui vous mènera vers de remarquables richesses notamment la chapelle Saint-Etienne et sa source. Sur le chemin du retour, vous passerez à proximité du Golf de Saint-Saëns. Après une visite a;Adultes, Familles, Sportifs
312;Base Nautique et de Loisirs de Bédanne;activity;PlaceOfInterest, PointOfInterest, SportsAndLeisurePlace;À 15 minutes de Rouen et à une heure de Paris, découvrez la base nautique et de loisirs de Bédanne, un espace nature où les petits et les grands pourront s’amuser en toute sécurité. La base se trouvant à Tourville la Rivière est un équipement... À 15 minutes de Rouen et à une heure de Paris, découvr;Adultes, Enfants, Familles
313;Woupi;activity;PlaceOfInterest, PointOfInterest, SportsAndLeisurePlace;Woupi Grand Quevilly est une aire de jeux et d'activité de 1 800m² pour les enfants de 1 à 12 ans. Espace couvert et chauffé. > Enfants de 1 à 3 ans : un espace de jeu avec toboggan, piscine à balles et autres jeux pour faire comme les grands,... Woupi Grand Quevilly est une aire de jeux et d'activi;Adultes, Enfants, Familles
325;Les Grands Genêts;activity;olo:OrderedList, PointOfInterest, Tour, WalkingTour;Sur 5h de marche, vous passerez par le hameau de Richebourg qui porte le nom de l'ancien château démoli en 1826. Vous randonnerez dans des paysages variés en Forêt de Lyons et en plaines. Sur 5h de marche, vous passerez par le hameau de Richebourg qui porte le nom de l'ancien château démoli en 1826.;Adultes, Familles, Randonneurs
326;Le Goulet à VTT;activity;olo:OrderedList, CyclingTour, PointOfInterest, Tour;Cet itinéraire vous plongera dans la forêt d’Eawy et vous emmènera à la découverte des hameaux de la commune des Grandes-Ventes. Il sera possible en fonction des saisons d’apercevoir à proximité de la route forestière du « Four Coffard » un élevage de bisons et de cerfs. Cet itinéraire vous plongera;Adultes, Enfants, Familles, Sportifs
329;La Plaine du Moulin;activity;olo:OrderedList, PointOfInterest, Tour, WalkingTour;nan nan;Adultes, Familles, Randonneurs
333;Gare de Le Houlme;activity;schema:TrainStation, PlaceOfInterest, PointOfInterest, TrainStation, Transport;nan nan;Adultes, Familles
338;La VéloCauchoise;activity;olo:OrderedList, CyclingTour, PointOfInterest, Tour;Reliez la Cité des Ducs de Normandie de Fécamp à la Cité Antique de Lillebonne. Les 50 km de vélo vous invite à une véritable découverte des pépites du Pays de Caux : tradition textile et linière, vergers et travail autour de la pomme, clos masure, theâtre Gallo-Romain etc., cette toute nouvelle vél;Adultes, Sportifs
343;Gare de Motteville;activity;schema:TrainStation, PlaceOfInterest, PointOfInterest, TrainStation, Transport;nan nan;Adultes, Familles
345;Le Grand Tour du Trait à VTT;activity;olo:OrderedList, CyclingTour, PointOfInterest, Tour;Cette boucle débute aux confins de Duclair à la maison forestière de la Haye d'Yainville. Au cœur de la forêt du Trait-Maulévrier, vous passerez près de la mare Catelière avant d'atteindre la Haye des Perques, ancienne maison forestière où vous pourrez admirer un pin remarquable. Cette boucle débute;Adultes, Familles, Sportifs
349;Le Vallon;activity;olo:OrderedList, CyclingTour, PointOfInterest, Tour;nan nan;Adultes, Sportifs
362;Gare d'Yvetot;activity;schema:TrainStation, PlaceOfInterest, PointOfInterest, TrainStation, Transport;nan nan;Adultes, Familles
368;Gare de Montville;activity;schema:TrainStation, PlaceOfInterest, PointOfInterest, TrainStation, Transport;nan nan;Adultes, Familles
389;Le Mont Lévêque à VTT;activity;olo:OrderedList, CyclingTour, PointOfInterest, Tour;Une balade à la campagne pour découvrir fermes, églises, châteaux et maisons normandes sur votre chemin. Une balade à la campagne pour découvrir fermes, églises, châteaux et maisons normandes sur votre chemin.;Adultes, Enfants, Familles, Randonneurs, Sportifs
390;Le Genetey;activity;olo:OrderedList, PointOfInterest, Tour, WalkingTour;Du village à flanc de coteau au hameau du Génetey en lisière de la forêt domaniale de Roumare, vous pourrez admirer le riche patrimoine qui jalonne le parcours: abbaye Saint Georges de Boscherville, Ferme des Templiers, Chapelle Saint Gorgon, demeures et fermes anciennes... Du village à flanc de cot;Adultes, Enfants, Familles, Randonneurs
401;Aire de pique-nique de Martainville-Epreville;activity;ConvenientService, PicnicArea, PlaceOfInterest, PointOfInterest;Tables de pique-nique situées dans le parc du Château de Martainville Tables de pique-nique situées dans le parc du Château de Martainville;Adultes, Familles
404;Les chemins de forrières;activity;olo:OrderedList, PointOfInterest, Tour, WalkingTour;Les chemins de forrières bordent les villages avec, d'un côté la vue sur les champs et de l'autre, sur le patrimoine des villages. Les chemins de forrières bordent les villages avec, d'un côté la vue sur les champs et de l'autre, sur le patrimoine des villages.;Adultes, Familles, Randonneurs
427;Les Magiciens de La Nuit;activity;PlaceOfInterest, PointOfInterest, SportsAndLeisurePlace, Theater;Depuis 30 ans, l’Association Les Magiciens de la Nuit propose des spectacles de type son et lumière sur le Pays de Caux et participe à l’animation du territoire en apportant son savoir faire aux créateurs d’évènements conformément à son idéal :... Depuis 30 ans, l’Association Les Magiciens de la Nui;Adultes, Familles
453;L'Effet des Fées;activity;PlaceOfInterest, PointOfInterest, SportsAndLeisurePlace;L'Effet des Fées, c'est une ferme d'animations et d'ateliers créatifs qui promeut le développement durable, les projets culturels, et la sensibilisation à l'environnement, la découverte de la faune et la flore, et l'exposition d'artistes et... L'Effet des Fées, c'est une ferme d'animations et d'atel;Adultes, Enfants, Familles, Randonneurs
454;Centre aquatique E'Caux Bulles;activity;PlaceOfInterest, PointOfInterest, SportsAndLeisurePlace;Pour toute la famille, des bassins qui n’attendent que vous : des nombreux jeux comme des cascades d’eau, des canons à eau, des jets massants, des plaques à bulles, un pentagliss extérieur, une pataugeoire ludique. Vous trouverez également un espace... Pour toute la famille, des bassins qui n’attend;Adultes, Enfants, Familles
459;Port de Plaisance;activity;PlaceOfInterest, PointOfInterest, SportsAndLeisurePlace;A 15 miles entre Dieppe et Fécamp, le port de plaisance intercommunal de Saint-Valery -en-Caux bénéficie d’une situation géographique privilégiée, en plein cœur de la ville, à proximité de tous les commerces. Rythmé quotidiennement par les marées,... A 15 miles entre Dieppe et Fécamp, le port de pla;Adultes, Familles
479;La Bichotterie;activity;olo:OrderedList, PointOfInterest, Tour, WalkingTour;Ce circuit familial vous permettra de découvrir un paysage rural préservé typiquement cauchois. Ce circuit familial vous permettra de découvrir un paysage rural préservé typiquement cauchois.;Adultes, Familles, Randonneurs
481;Bourvil à bicyclette;activity;olo:OrderedList, CyclingTour, PointOfInterest, Tour;Originaire de Prétot-Vicquemare, André Raimbourg (alias Bourvil, en hommage au village de Bourville où il grandit) est l’un des plus célèbres Cauchois. Il passa sa jeunesse dans le Pays de Caux, entre la ferme familiale, l’école de Doudeville et la boulangerie de Saint-Laurent-en-Caux avant de deven;Adultes, Enfants, Familles, Sportifs
483;Le Mont de Beaussault;activity;olo:OrderedList, PointOfInterest, Tour, WalkingTour;Située sur la bordure nord de la Boutonnière du Pays de Bray, cette boucle vous fera parcourir le versant boisé de la commune et le fond de la dépression brayonne ou serpente le Toupray. Située sur la bordure nord de la Boutonnière du Pays de Bray, cette boucle vous fera parcourir le versant boisé d;Adultes, Familles, Randonneurs
484;Aire de pique-nique de Bosc-le-Hard;activity;ConvenientService, PicnicArea, PlaceOfInterest, PointOfInterest;L'aire est située près de la mare aux nénuphars (accès par la rue Jeanne la Lorraine) L'aire est située près de la mare aux nénuphars (accès par la rue Jeanne la Lorraine);Adultes, Familles
502;À la découverte de Bondeville et Colleville;activity;olo:OrderedList, PointOfInterest, Tour, WalkingTour;Boucle qui permet la découverte du patrimoine autour de Bondeville, par la Véloroute du Lin. Boucle qui permet la découverte du patrimoine autour de Bondeville, par la Véloroute du Lin.;Adultes, Familles, Randonneurs
511;Point Location Nautisme;activity;PlaceOfInterest, PointOfInterest, SportsAndLeisurePlace;Sur le front de mer, une équipe d'animateurs diplômés vous propose : la location de planches à voile, kayaks, paddle board des cours particuliers sur planche à voile. Des cours particulier d'initiation au wingFoil sont possibles sur réservation. Sur le front de mer, une équipe d'animateurs diplômés ;Adultes, Débutants, Familles
535;La Paysagerie;activity;schema:Product, PlaceOfInterest, PointOfInterest, Practice, Product, SportsAndLeisurePlace;La Paysagerie en Caux est un écrin naturel préservé, propice à la détente et à la découverte. Engagé dans une gestion écologique et protégé durablement par une Obligation Réelle Environnementale (ORE), le site offre une immersion authentique au cœur... La Paysagerie en Caux est un écrin naturel prés;Adultes, Enfants, Familles
537;Entre Varenne et Scie;activity;olo:OrderedList, PointOfInterest, Tour, WalkingTour;De la vallée de la Scie à celle de la Varenne, les amateurs et confirmés de randonnée traverseront les chemins, pour une balade sportive et revigorante. Alors, ça vous tente ? De la vallée de la Scie à celle de la Varenne, les amateurs et confirmés de randonnée traverseront les chemins, pour une bal;Adultes, Familles, Randonneurs
540;Boucle VTT de Saint-Jean-de-Folleville;activity;olo:OrderedList, CyclingTour, PointOfInterest, Tour;Une boucle VTT aménagée sur les hauteurs de la Vallée de la Seine et qui fera le plaisir des sportifs. Une boucle VTT aménagée sur les hauteurs de la Vallée de la Seine et qui fera le plaisir des sportifs.;Adultes, Sportifs
544;Centre équestre des Droops;activity;schema:LocalBusiness, EquestrianCenter, PlaceOfInterest, PointOfInterest, SportsAndLeisurePlace;Aude vous accueille dans sa ferme pour vous faire découvrir le monde des équins ainsi que les animaux de la ferme. Au programme : Cours d’équitation, balades à poneys et découverte de la mini ferme. Les infrastructures sont particulièrement adaptées... Aude vous accueille dans sa ferme pour vous fai;Adultes, Enfants, Familles, PMR, Randonneurs
