id_poi;Nom;Categorie;Ville;CP;Rue;Verdict_initial;Adresse_GPS;lat_old;lon_old;lat_new;lon_new;adresse_geocodee;strategie_utilisee;correction_status
;Fête du goût et de l'artisanat;event;saint-aubin-sur-mer;76740;parking de la plage;OK Ville+CP;saint-aubin-sur-mer, dieppe, seine-maritime, normandie, france métropolitaine, 76740, france;49.8940342;0.8716147;49.8934857;0.8736696;Parking de la Plage, Val de Saint-Aubin, Saint-Aubin-sur-Mer, Dieppe, Seine-Maritime, Normandie, France métropolitaine, 76740, France;adresse_seule;✅CORRIGE
;Guérin Location;shop;dieppe;76200;ponton champlain;OK Ville+CP;port de plaisance - bassin jehan ango, port de plaisance, dieppe, seine-maritime, normandie, france métropolitaine, 76200, france;49.9284146;1.08226067;49.9284146;1.08226067;;;PAS_TROUVE
;[Brocante];event;rouxmesnil-bouteilles;76370;terrain de foot;OK Ville+CP;avenue verte, dieppe, rouxmesnil-bouteilles, dieppe, seine-maritime, normandie, france métropolitaine, 76370, france;49.9050978;1.09436641;49.9050978;1.09436641;;;PAS_TROUVE
;Musée Industriel Vivant Expotec 103 - Moulin Saint-Gilles;culture;rouen;76000;13 rue saint-gilles;OK Ville+CP;33, rue des petites eaux de robec, quartier grieu / vallon suisse / saint-hilaire, rouen, seine-maritime, normandie, france métropolitaine, 76000, france;49.438279;1.133683;49.4389446;1.1340569;Rue Saint-Gilles, Quartier Grieu / Vallon Suisse / Saint-Hilaire, Rouen, Seine-Maritime, Normandie, France métropolitaine, 76000, France;adresse_seule;✅CORRIGE
;L'Afloria - Head Spa;activity;étretat;76790;3 domaine de valaine;OK Ville+CP;chemin de valaine, le grand val, étretat, le havre, seine-maritime, normandie, france métropolitaine, 76790, france;49.696481;0.1977289;49.696481;0.1977289;;;PAS_TROUVE
;[Création immersive] Au jardin des potiniers;event;rouxmesnil-bouteilles;76370;salle corentin ansquer;OK Ville+CP;chemin des jardiniers, rouxmesnil-bouteilles, dieppe, seine-maritime, normandie, france métropolitaine, 76370, france;49.9061814;1.0940258;49.9061814;1.0940258;;;PAS_TROUVE
;Randonnée apéro My French Rhum;event;thil-manneville;76730;11 rue des canadiens;OK Ville+CP;mairie de thil-manneville, rue des canadiens, thil-manneville, dieppe, seine-maritime, normandie, france métropolitaine, 76730, france;49.8402847;0.9905579;49.8403558;0.9905116;11, Rue des Canadiens, Thil-Manneville, Dieppe, Seine-Maritime, Normandie, France métropolitaine, 76730, France;adresse_seule;✅CORRIGE
;Aux portes d'Yvetot;activity;touffreville-la-corbeline;76190;;OK Ville+CP;route de rançon, touffreville-la-corbeline, rouen, seine-maritime, normandie, france métropolitaine, 76190, france;49.5781528;0.76045731;49.5781528;0.76045731;;;PAS_TROUVE
;Atelier de l’Ethnothèque : clayonnage et fascinage;event;notre-dame-de-bliquetuit;76940;692 rue du petit pont;OK Ville+CP;rue du petit pont, hameau de l'église, notre-dame-de-bliquetuit, rouen, seine-maritime, normandie, france métropolitaine, 76940, france;49.4975326;0.7573669;49.5034996;0.745106;Rue du Petit Pont, Hameau d'Ectot, Mont-Gobert, Notre-Dame-de-Bliquetuit, Rouen, Seine-Maritime, Normandie, France métropolitaine, 76940, France;adresse_seule;✅CORRIGE
;Musée du Tissage Charles Denis;culture;harcanville;76560;301 route de quiévremont;OK Ville+CP;501, route de quièvremont, quievremont, harcanville, rouen, seine-maritime, normandie, france métropolitaine, 76560, france;49.707982;0.7559637;49.708935;0.754891;301, Route de Quièvremont, Quievremont, Harcanville, Rouen, Seine-Maritime, Normandie, France métropolitaine, 76560, France;adresse_seule;✅CORRIGE
;Quincamp'Fest;other;quincampoix;76230;148 rue de morgny;OK Ville+CP;route de morgny, le bourgdun, quincampoix, rouen, seine-maritime, normandie, france métropolitaine, 76230, france;49.51955;1.20316;49.51955;1.20316;;;PAS_TROUVE
;Valleuse des Grandes-Dalles;nature;saint-pierre-en-port;76540;;OK Ville+CP;rue de la mairie, saint-pierre-en-port, le havre, seine-maritime, normandie, france métropolitaine, 76540, france;49.80617;0.49559;49.80617;0.49559;;;PAS_TROUVE
;Gîte du Vieux Puits N°2;accommodation;quiberville;76860;rue du vieux puits;PARFAIT Ville+CP+Rue;80, rue du vieux puits, quiberville-sur-mer, dieppe, seine-maritime, normandie, france métropolitaine, 76860, france;49.8957643;0.91337417;49.8957643;0.91337417;;;✅✅CONSERVE_PARFAIT
;Exposition : Petites voiles;event;le havre;76600;1 rue jérôme bellarmato;PARFAIT Ville+CP+Rue;hôtel dubocage de bléville - musée, 1, rue jérôme bellarmato, saint-françois, le havre, seine-maritime, normandie, france métropolitaine, 76600, france;49.4889481;0.1143016;49.4889481;0.1143016;;;✅✅CONSERVE_PARFAIT
;La Grillade;food;fécamp;76400;53 rue louis caron;OK Ville+CP;hôtel de la plage, 87, rue de la plage, fécamp, le havre, seine-maritime, normandie, france métropolitaine, 76400, france;49.7593275;0.3626056;49.7593891;0.3626595;La Grillade, 53, Rue Louis Caron, Fécamp, Le Havre, Seine-Maritime, Normandie, France métropolitaine, 76400, France;adresse_seule;✅CORRIGE
;Visite guidée - Criel-sur-Mer : Circuit du patrimoine architectural;event;criel-sur-mer;76910;manoir de briançon;OK Ville+CP;place du général de gaulle, criel-sur-mer, dieppe, seine-maritime, normandie, france métropolitaine, 76910, france;50.017558;1.3158049;50.0176282;1.3156878;Manoir de Briançon, Place du Général de Gaulle, Criel Plage, Criel-sur-Mer, Dieppe, Seine-Maritime, Normandie, France métropolitaine, 76910, France;adresse_seule;✅CORRIGE
;Brocante;event;eu;76260;parking de la collégiale;A VERIFIER Ville|CP;route de monchy, baromesnil, dieppe, seine-maritime, normandie, france métropolitaine, 76260, france;49.9895521;1.4214813;49.9895521;1.4214813;;;PAS_TROUVE
;Peinture sur enduit de chaux frais peinture affresco;event;morville-sur-andelle;76780;161 route de morville;A VERIFIER Ville|CP;route de morville, le héron, morville-le-héron, dieppe, seine-maritime, normandie, france métropolitaine, 76780, france;49.476084;1.406129;49.476084;1.406129;;;PAS_TROUVE
;Jardin des Damville;activity;bosc-hyons;76220;2 rue de l'autel;OK Ville+CP;rue de l'autel, bosc-hyons, dieppe, seine-maritime, normandie, france métropolitaine, 76220, france;49.4505853;1.6522555;49.4503578;1.6519629;Rue de l'Autel, Bosc-Hyons, Dieppe, Seine-Maritime, Normandie, France métropolitaine, 76220, France;adresse_seule;✅CORRIGE
;Aître Saint-Maclou;culture;rouen;76000;186 rue martainville;PARFAIT Ville+CP+Rue;184, rue martainville, quartier saint-marc / croix de pierre / saint-nicaise, rouen, seine-maritime, normandie, france métropolitaine, 76000, france;49.4398949;1.09947523;49.4398949;1.09947523;;;✅✅CONSERVE_PARFAIT
;[Cabaret] Bingo disco;event;dieppe;76200;/ esplanade rosa leroy;OK Ville+CP;the novick's stadium, rue dulague, dieppe, seine-maritime, normandie, france métropolitaine, 76200, france;49.9213557;1.0799553;49.9213557;1.0799553;;;PAS_TROUVE
;Gîtes de France® - Auleclairlogis;accommodation;étainhus;76430;321, route du moignan;PARFAIT Ville+CP+Rue;route du moignan, étainhus, le havre, seine-maritime, normandie, france métropolitaine, 76430, france;49.5675055;0.30322222;49.5675055;0.30322222;;;✅✅CONSERVE_PARFAIT
;réouverture de la Micro Folie d'Yquebeuf;event;yquebeuf;76690;route de colmare;PARFAIT Ville+CP+Rue;route de colmare, yquebeuf, rouen, seine-maritime, normandie, france métropolitaine, 76690, france;49.5903797;1.2581554;49.5903797;1.2581554;;;✅✅CONSERVE_PARFAIT
;Fête communale de Canville les deux églises avec marché artisanal/ retraite aux flambeaux avec défilé de majorettes/ feu d'artifice;event;canville-les-deux-églises;76560;;OK Ville+CP;impasse roger douville, canville-les-deux-églises, rouen, seine-maritime, normandie, france métropolitaine, 76560, france;49.7704359;0.84102999;49.7704359;0.84102999;;;PAS_TROUVE
;Séance de yoga;event;saint-valery-en-caux;76460;14 avenue clemenceau;PARFAIT Ville+CP+Rue;hôtel du casino, 14, avenue clemenceau, le poteau, saint-valery-en-caux, dieppe, seine-maritime, normandie, france métropolitaine, 76460, france;49.8633661;0.711919;49.8633661;0.711919;;;✅✅CONSERVE_PARFAIT
;Stage de chant : Bab Assalam;event;étalondes;76260;rue du village;PARFAIT Ville+CP+Rue;rue du village, étalondes, dieppe, seine-maritime, normandie, france métropolitaine, 76260, france;50.030264;1.386167;50.030264;1.386167;;;✅✅CONSERVE_PARFAIT
;Hôtel Les Initiés;accommodation;rouen;76000;45 rue aux juifs;PARFAIT Ville+CP+Rue;les initiés, 45, rue aux juifs, vieux-marché-cathédrale, quartier vieux-marché cathédrale, rouen, seine-maritime, normandie, france métropolitaine, 76000, france;49.4419889;1.09238023;49.4419889;1.09238023;;;✅✅CONSERVE_PARFAIT
;Concert : Catherine Lara en trio;event;le havre;76600;387 rue aristide briand;PARFAIT Ville+CP+Rue;le normandy, 387, rue aristide briand, sainte-marie, le havre, seine-maritime, normandie, france métropolitaine, 76600, france;49.500977;0.1435657;49.500977;0.1435657;;;✅✅CONSERVE_PARFAIT
;"Atelier théâtre enfants : ""Les gardiens de la nature""";event;criel-sur-mer;76910;médiathèque;OK Ville+CP;place du général de gaulle, criel-sur-mer, dieppe, seine-maritime, normandie, france métropolitaine, 76910, france;50.017558;1.3158049;50.017558;1.3158049;;;PAS_TROUVE
;Enduro Truite;event;lamberville;76730;18 route de la vienne;OK Ville+CP;route de la vienne, lamberville, dieppe, seine-maritime, normandie, france métropolitaine, 76730, france;49.77878;0.99704;49.774106;0.9993727;Route de la Vienne, Lamberville, Dieppe, Seine-Maritime, Normandie, France métropolitaine, 76730, France;adresse_seule;✅CORRIGE
;Rencontre : Tatiana de Rosnay;event;le havre;76600;148 rue victor hugo;PARFAIT Ville+CP+Rue;148, rue victor hugo, les gobelins, le havre, seine-maritime, normandie, france métropolitaine, 76600, france;49.4915537;0.1087973;49.4915537;0.1087973;;;✅✅CONSERVE_PARFAIT
;Divernet;food;dieppe;76200;138 grande rue;OK Ville+CP;123, grande rue, dieppe, seine-maritime, normandie, france métropolitaine, 76200, france;49.9254147;1.07568879;49.9258741;1.0762529;138, Grande Rue, Dieppe, Seine-Maritime, Normandie, France métropolitaine, 76200, France;adresse_seule;✅CORRIGE
;Hôtel de la Plage;accommodation;quiberville;76860;1 rue du front de mer;OK Ville+CP;rue de l'église, quiberville-sur-mer, dieppe, seine-maritime, normandie, france métropolitaine, 76860, france;49.904435;0.92268438;49.904405;0.9227868;Hôtel de la Plage, 1, Rue du Front de Mer, Quiberville-sur-Mer, Dieppe, Seine-Maritime, Normandie, France métropolitaine, 76860, France;nom+ville;✅CORRIGE
;Tennis Etretat Cap de Caux;activity;étretat;76790;23 bis rue guy de maupassant;OK Ville+CP;allée des marronniers, le calvaire, étretat, le havre, seine-maritime, normandie, france métropolitaine, 76790, france;49.705421;0.209279;49.7058882;0.207018;Rue Guy de Maupassant, Le Grand Val, Étretat, Le Havre, Seine-Maritime, Normandie, France métropolitaine, 76790, France;adresse_seule;✅CORRIGE
;[Foire à tout];event;offranville;76550;/ avenue de l'épine;OK Ville+CP;sente de l'abbaye, le ris, offranville, dieppe, seine-maritime, normandie, france métropolitaine, 76550, france;49.8704484;1.0518932;49.8674642;1.0386488;Avenue de l'Épine, Le Bout de la Ville, Genneville, Offranville, Dieppe, Seine-Maritime, Normandie, France métropolitaine, 76550, France;adresse_seule;✅CORRIGE
;Yvetot Normandie Tourisme;activity;yvetot;76190;8 place du marechal joffre;OK Ville+CP;place du maréchal joffre, yvetot, rouen, seine-maritime, normandie, france métropolitaine, 76190, france;49.617333;0.754906;49.6173905;0.7551114;Musée des Ivoires d'Yvetot, 8, Place du Maréchal Joffre, Yvetot, Rouen, Seine-Maritime, Normandie, France métropolitaine, 76190, France;adresse_seule;✅CORRIGE
;Lin et l'Autre · Normandie;shop;varengeville-sur-mer;76119;place des canadiens;OK Ville+CP;mairie de varengeville-sur-mer, route de dieppe, la mare canuel, blancmesnil, varengeville-sur-mer, dieppe, seine-maritime, normandie, france métropolitaine, 76119, france;49.90487;0.992512;49.9041633;0.994157;Place des Canadiens, Le Clos des Feuillères, Varengeville-sur-Mer, Dieppe, Seine-Maritime, Normandie, France métropolitaine, 76119, France;adresse_seule;✅CORRIGE
;La Maison sur la Falaise;accommodation;le tréport;76470;11 bis route d'etalondes;OK Ville+CP;route d'etalondes, le tréport, dieppe, seine-maritime, normandie, france métropolitaine, 76470, france;50.0573239;1.3760477;50.0551027;1.3783835;Route d'Etalondes, Le Tréport, Dieppe, Seine-Maritime, Normandie, France métropolitaine, 76470, France;adresse_seule;✅CORRIGE
;Sur la Piste des Comtes d'Evreux;activity;port-jérôme-sur-seine;76330;notre-dame-de-gravenchon;PARFAIT Ville+CP+Rue;rue de fontaineval, notre-dame-de-gravenchon, port-jérôme-sur-seine, le havre, seine-maritime, normandie, france métropolitaine, 76330, france;49.5016233;0.58281603;49.5016233;0.58281603;;;✅✅CONSERVE_PARFAIT
;Le Cap Fagnet / Fécamp (site classé) : les blockhaus;culture;fécamp;76400;côte de la vierge;OK Ville+CP;les blockhaus du cap fagnet, d 79, fécamp, le havre, seine-maritime, normandie, france métropolitaine, 76400, france;49.7676284;0.36963948;49.7676284;0.36963948;;;PAS_TROUVE
;Plage-Baignade Saint-Valery-en-Caux;activity;saint-valery-en-caux;76460;;OK Ville+CP;casino de saint-valery-en-caux, 1, promenade jacques couture, le poteau, saint-valery-en-caux, dieppe, seine-maritime, normandie, france métropolitaine, 76460, france;49.870122;0.71578823;49.870122;0.71578823;;;PAS_TROUVE
;Bienvenue chez M. Goubert;accommodation;fécamp;76400;443 avenue des peupliers;OK Ville+CP;avenue des peupliers, fécamp, le havre, seine-maritime, normandie, france métropolitaine, 76400, france;49.7661871;0.3671446;49.7656124;0.3700383;Avenue des Peupliers, Fécamp, Le Havre, Seine-Maritime, Normandie, France métropolitaine, 76400, France;adresse_seule;✅CORRIGE
;Rouen gourmande;event;rouen;76000;25 place de la cathédrale;OK Ville+CP;7, place de la cathédrale, vieux-marché-cathédrale, quartier vieux-marché cathédrale, rouen, seine-maritime, normandie, france métropolitaine, 76000, france;49.4404281;1.093544;49.4404761;1.093603;25, Place de la Cathédrale, Vieux-Marché-Cathédrale, Quartier Vieux-Marché Cathédrale, Rouen, Seine-Maritime, Normandie, France métropolitaine, 76000, France;adresse_seule;✅CORRIGE
;Mon P'tit resto;food;yerville;76760;115 rue des laboureurs;OK Ville+CP;mon p'tit resto, avenue charles de gaulle, zone d'activité du bois de l'arc, yerville, rouen, seine-maritime, normandie, france métropolitaine, 76760, france;49.6612881;0.8785383;49.6612806;0.8785496;Mon P'tit resto, Avenue Charles de Gaulle, Zone d'Activité du Bois de l'Arc, Yerville, Rouen, Seine-Maritime, Normandie, France métropolitaine, 76760, France;nom+ville;✅CORRIGE
;L'Etoile de mer;accommodation;étretat;76790;9 b rue isabey;PARFAIT Ville+CP+Rue;11, rue isabey, le grand val, étretat, le havre, seine-maritime, normandie, france métropolitaine, 76790, france;49.70695;0.207388;49.70695;0.207388;;;✅✅CONSERVE_PARFAIT
;Pôle de santé libéral et ambulatoire Gournay en Bray;shop;gournay-en-bray;76220;30 avenue de la première armée française;OK Ville+CP;ehpad du ch, avenue de la première armée française, gournay-en-bray, dieppe, seine-maritime, normandie, france métropolitaine, 76220, france;49.4784002;1.7239127;49.4751272;1.7254669;Avenue de la Première Armée Française, Saint-Clair, Gournay-en-Bray, Dieppe, Seine-Maritime, Normandie, France métropolitaine, 76220, France;adresse_seule;✅CORRIGE
;App'art 2 et App'art 3;accommodation;le tréport;76470;1a rue de la falaise;PARFAIT Ville+CP+Rue;rue de la falaise, le tréport, dieppe, seine-maritime, normandie, france métropolitaine, 76470, france;50.0609909;1.3709107;50.0609909;1.3709107;;;✅✅CONSERVE_PARFAIT
;Mme TARLEE Catherine;accommodation;eu;76260;79 rue déménitroux;OK Ville+CP;rue déménitroux, eu, dieppe, seine-maritime, normandie, france métropolitaine, 76260, france;50.053368;1.392653;50.0526993;1.3953526;Rue Déménitroux, Eu, Dieppe, Seine-Maritime, Normandie, France métropolitaine, 76260, France;adresse_seule;✅CORRIGE
;La Riv'Yères;accommodation;criel-sur-mer;76910;6 rue du moulin à huile;OK Ville+CP;rue du moulin à huile, criel plage, criel-sur-mer, dieppe, seine-maritime, normandie, france métropolitaine, 76910, france;50.0183496;1.31436499;50.0186838;1.3139249;Rue du Moulin à Huile, Criel Plage, Criel-sur-Mer, Dieppe, Seine-Maritime, Normandie, France métropolitaine, 76910, France;adresse_seule;✅CORRIGE
;Gîtes de France® - Gîte  de la Forêt;accommodation;rives-en-seine;76940;6, rue de la forêt;A VERIFIER Ville|CP;rue de la forêt, caudebec-en-caux, rives-en-seine, rouen, seine-maritime, normandie, france métropolitaine, 76490, france;49.524671;0.743182;49.5258553;0.7424423;Rue de la Forêt, Caudebec-en-Caux, Rives-en-Seine, Rouen, Seine-Maritime, Normandie, France métropolitaine, 76490, France;adresse_seule;✅CORRIGE
;Traversée du Havre en voitures anciennes;event;gonneville-la-mallet;76280;place guy de maupassant;OK Ville+CP;rue jules lethuillier, sébastopol, gonneville-la-mallet, le havre, seine-maritime, normandie, france métropolitaine, 76280, france;49.6402759;0.2225154;49.6401285;0.22297;Place Guy de Maupassant, Hameau de l'Ancienne Église, Gonneville-la-Mallet, Le Havre, Seine-Maritime, Normandie, France métropolitaine, 76280, France;adresse_seule;✅CORRIGE
;Sortie nature : Transhumance;event;le tilleul;76790;rue du moulin;PARFAIT Ville+CP+Rue;rue du moulin, le tilleul, le havre, seine-maritime, normandie, france métropolitaine, 76790, france;49.6863179;0.1974784;49.6863179;0.1974784;;;✅✅CONSERVE_PARFAIT
;Oh ! Croco : Bricolage Kazoo;event;val-de-scie;76720;6 place de la république;OK Ville+CP;1, rue narcisse dufour, auffay, val-de-scie, dieppe, seine-maritime, normandie, france métropolitaine, 76720, france;49.7176358;1.0993315;49.7174954;1.0994866;Place de la République, Auffay, Val-de-Scie, Dieppe, Seine-Maritime, Normandie, France métropolitaine, 76720, France;adresse_seule;✅CORRIGE
;Plage-Baignade Saint-Aubin-sur-Mer;activity;saint-aubin-sur-mer;76740;;OK Ville+CP;saint-aubin-sur-mer, dieppe, seine-maritime, normandie, france métropolitaine, 76740, france;49.8939924;0.87116199;49.8939924;0.87116199;;;PAS_TROUVE
;[Sport] Gala de Gymnastique aux Agrès;event;offranville;76550;/ rue louis loucheur;OK Ville+CP;rue guy maupassant, le ris, offranville, dieppe, seine-maritime, normandie, france métropolitaine, 76550, france;49.8737296;1.0476766;49.8732831;1.0452432;Rue Louis Loucheur, Le Ris, Offranville, Dieppe, Seine-Maritime, Normandie, France métropolitaine, 76550, France;adresse_seule;✅CORRIGE
;Montigny;activity;les cent-acres;76590;;OK Ville+CP;rue du val blaise, le beau théroude, les cent-acres, dieppe, seine-maritime, normandie, france métropolitaine, 76590, france;49.767051;1.14157399;49.767051;1.14157399;;;PAS_TROUVE
;Gites beauregard - Gîte Madeleine;accommodation;dieppe;76200;5 rue beauregard;OK Ville+CP;rue beauregard, dieppe, seine-maritime, normandie, france métropolitaine, 76200, france;49.92935;1.08314;49.9293872;1.0831564;Rue Beauregard, Dieppe, Seine-Maritime, Normandie, France métropolitaine, 76200, France;adresse_seule;✅CORRIGE
;Maison des forêts Darnétal;nature;darnétal;76160;allée du bois du roule;PARFAIT Ville+CP+Rue;allée du bois du roule, la table de pierre, darnétal, rouen, seine-maritime, normandie, france métropolitaine, 76160, france;49.4379765;1.15881296;49.4379765;1.15881296;;;✅✅CONSERVE_PARFAIT
;Maître Jean;activity;pierrecourt;76340;;OK Ville+CP;rue centrale, pierrecourt, dieppe, seine-maritime, normandie, france métropolitaine, 76340, france;49.8965869;1.65975189;49.8965869;1.65975189;;;PAS_TROUVE
